name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
West Broadway Road,830,597312446,375,102,1,42.62,2,,,secondary,4,"LINESTRING (-111.9401355 33.4074051, -111.9405939 33.4074032)",auto,1,0,,
West Broadway Road,831,597312446,102,375,1,42.62,5,,,secondary,4,"LINESTRING (-111.9405939 33.4074032, -111.9401355 33.4074051)",auto,1,0,,
,832,597324977,496,490,1,23.36,,,,residential,6,"LINESTRING (-111.9194892 33.4071000, -111.9194933 33.4072424, -111.9195486 33.4072925)",auto,0,0,,
East 14th Street,833,597596575,87,497,1,200.41,,40,,residential,6,"LINESTRING (-111.9349328 33.4135475, -111.9348369 33.4135485, -111.9327775 33.4135705)",auto,1,0,,
East 14th Street,834,597596575,497,87,1,200.41,,40,,residential,6,"LINESTRING (-111.9327775 33.4135705, -111.9348369 33.4135485, -111.9349328 33.4135475)",auto,1,0,,
East 14th Street,835,597596575,497,191,1,192.93,,40,,residential,6,"LINESTRING (-111.9327775 33.4135705, -111.9307814 33.4135850, -111.9307346 33.4135807, -111.9307043 33.4135726)",auto,1,0,,
East 14th Street,836,597596575,191,497,1,192.93,,40,,residential,6,"LINESTRING (-111.9307043 33.4135726, -111.9307346 33.4135807, -111.9307814 33.4135850, -111.9327775 33.4135705)",auto,1,0,,
South College Avenue,837,597596576,87,24,1,173.98,1,,,tertiary,5,"LINESTRING (-111.9349328 33.4135475, -111.9349354 33.4130207, -111.9349327 33.4129448, -111.9349297 33.4119783)",auto,1,0,,
South College Avenue,838,597596576,24,87,1,173.98,1,,,tertiary,5,"LINESTRING (-111.9349297 33.4119783, -111.9349327 33.4129448, -111.9349354 33.4130207, -111.9349328 33.4135475)",auto,1,0,,
South College Avenue,839,597596576,24,256,1,182.56,1,,,tertiary,5,"LINESTRING (-111.9349297 33.4119783, -111.9349317 33.4113472, -111.9349310 33.4110677, -111.9349309 33.4110191, -111.9349308 33.4109161, -111.9349316 33.4107429, -111.9349315 33.4107044, -111.9349226 33.4103317)",auto,1,0,,
