name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,265,316870186,traffic_signals,,signal,,,,-111.9396045,33.4159562,,,
,266,3983483489,,,,,,,-111.9398073,33.4114264,,,
,267,3983483490,,,,,,,-111.9398827,33.4125946,,,
,268,3983483050,,,,,,,-111.9365803,33.4129111,,,
,269,3983483492,,,,,,,-111.9397885,33.4106036,,,
,270,3983483037,,,,,,,-111.9399239,33.411432,,,
,271,3983483042,,,,,,,-111.9397375,33.4128425,,,
,272,3983489075,,,,,,,-111.9396664,33.4111275,,,
,273,3983483055,,,,,,,-111.9379608,33.4128944,,,
,274,318033603,traffic_signals,,signal,,,,-111.909092,33.421982,,,
,275,2822050828,crossing,,,,,,-111.9090932,33.4218349,,,
,276,2625358998,,,,,,,-111.9398348,33.4170325,,,
,277,,,,,,,,-111.9090915,33.4221,,,boundary node created by osm2gmns
,278,4084510562,traffic_signals,,signal,,,,-111.909105,33.4074308,,,
,279,2300216506,crossing,,,,,,-111.908934,33.4074294,,,
,280,4084525373,,,,,,,-111.9236803,33.4074433,,,
,281,4347900909,,,,,,,-111.9230728,33.4074436,,,
,282,2819230452,traffic_signals,,signal,,,,-111.909114,33.4146219,,,
,283,,,,,,,,-111.9088,33.4146185,,,boundary node created by osm2gmns
,284,,,,,,,,-111.9088,33.4148344,,,boundary node created by osm2gmns
,285,3756578325,traffic_signals,,signal,,,,-111.909113,33.4148353,,,
,286,330683945,traffic_signals,,signal,,,,-111.934959,33.4147529,,,
,287,4346575412,,,,,,,-111.9361331,33.4147441,,,
,288,4346575413,,,,,,,-111.9342173,33.4147571,,,
,289,5200239623,,,,,,,-111.9349498,33.4155051,,,
,290,41662609,traffic_signals,,signal,,,,-111.939874,33.4074072,,,
,291,3983483485,traffic_signals,,signal,,,,-111.93976,33.4074084,,,
,292,,,,,,,,-111.93987,33.4071,,,boundary node created by osm2gmns
,293,,,,,,,,-111.9397568,33.4071,,,boundary node created by osm2gmns
,294,4346569400,,,,,,,-111.9398834,33.4126638,,,
,295,8813118514,,,,,,,-111.9399169,33.4151943,,,
,296,5770246246,,,,,,,-111.9398829,33.4130694,,,
,297,330683971,traffic_signals,,signal,,,,-111.9177,33.4146384,,,
,298,330683974,,,,,,,-111.9142668,33.4146813,,,
,299,3756594471,traffic_signals,,signal,,,,-111.9136957,33.414677,,,
,300,330683932,traffic_signals,,signal,,,,-111.912477,33.4148608,,,
,301,3756594462,,,,,,,-111.9133844,33.4148388,,,
,302,4346571424,,,,,,,-111.9186464,33.4146574,,,
,303,4346571427,,,,,,,-111.9212488,33.4147092,,,
,304,4346571425,,,,,,,-111.9133779,33.4146776,,,
,305,1501648856,,,,,,,-111.9113853,33.4148731,,,
,306,330683977,traffic_signals,,signal,,,,-111.912339,33.4146772,,,
,307,4346571426,,,,,,,-111.9105903,33.4147002,,,
,308,3719273480,,,,,,,-111.9191579,33.4146605,,,
,309,6701033509,,,,,,,-111.9105708,33.4147001,,,
,310,6701033513,,,,,,,-111.910382,33.414697,,,
,311,4346571428,,,,,,,-111.9189923,33.4148614,,,
,312,1501648857,,,,,,,-111.9203059,33.4148826,,,
,313,41624261,traffic_signals,,signal,,,,-111.93661,33.4145994,,,
,314,4346575410,,,,,,,-111.9314439,33.4146642,,,
,315,4346575415,,,,,,,-111.9300149,33.4147941,,,
,316,330683942,traffic_signals,,signal,,,,-111.930649,33.4147876,,,
,317,4346575409,,,,,,,-111.9335205,33.4146455,,,
,318,330683965,traffic_signals,,signal,,,,-111.932794,33.4146458,,,
,319,4346575414,,,,,,,-111.9322177,33.4147716,,,
,320,4346575411,,,,,,,-111.926748,33.414692,,,
,321,4346575416,,,,,,,-111.9258589,33.414832,,,
,322,330683940,traffic_signals,,signal,,,,-111.9262852,33.4148286,,,
,323,330683964,traffic_signals,,signal,,,,-111.934955,33.4146147,,,
,324,4716134186,traffic_signals,,signal,,,,-111.9291456,33.4146674,,,
,325,5650675848,,,,,,,-111.9285601,33.4146783,,,
,326,5146893078,,,,,,,-111.927372,33.4146858,,,
,327,330683941,,,,,,,-111.9273946,33.4148143,,,
,328,4346575417,,,,,,,-111.9400269,33.417428,,,
,329,41624255,,,,,,,-111.9399667,33.4167979,,,
,330,4346577513,,,,,,,-111.9398502,33.4186881,,,
,331,4346577514,,,,,,,-111.9398505,33.4187373,,,
,332,4346577517,,,,,,,-111.9398661,33.4195538,,,
,333,4346577518,,,,,,,-111.9398665,33.419777,,,
,334,4346577523,,,,,,,-111.939899,33.4215064,,,
,335,4346577519,,,,,,,-111.9398722,33.4200156,,,
,336,4346577515,,,,,,,-111.9398606,33.4193366,,,
,337,4346577521,,,,,,,-111.939894,33.4211696,,,
,338,4346577522,,,,,,,-111.9398957,33.4212893,,,
,339,4346577520,,,,,,,-111.9398812,33.4202361,,,
,340,2625359008,traffic_signals,,signal,,,,-111.939883,33.4204904,,,
,341,4346577516,,,,,,,-111.9400338,33.4194368,,,
,342,2625359004,,,,,,,-111.9398468,33.4176189,,,
,343,,,,,,,,-111.9400769,33.4221,,,boundary node created by osm2gmns
,344,2978047866,,,,,,,-111.9248832,33.4220294,,,
,345,4346605165,,,,,,,-111.9181401,33.4220184,,,
,346,4346605159,,,,,,,-111.9102088,33.4219858,,,
,347,4346605158,,,,,,,-111.9100774,33.421985,,,
,348,4346605160,,,,,,,-111.9273877,33.4220144,,,
,349,4346605164,,,,,,,-111.9271825,33.4220171,,,
,350,2704829948,traffic_signals,,signal,,,,-111.926407,33.4220275,,,
,351,5013837645,traffic_signals,,signal,,,,-111.926243,33.4220288,,,
,352,4346605161,,,,,,,-111.9295985,33.4220148,,,
,353,41714341,traffic_signals,,signal,,,,-111.928941,33.4220194,,,
,354,41714356,traffic_signals,,signal,,,,-111.917702,33.4220187,,,
,355,4346605162,,,,,,,-111.9171959,33.4220165,,,
,356,4346605163,,,,,,,-111.9285829,33.4220147,,,
,357,9973576681,,,,,,,-111.9269657,33.42202,,,
,358,4346605166,,,,,,,-111.9254096,33.4220303,,,
,359,4346605157,,,,,,,-111.9390184,33.4219833,,,
,360,9888948024,,,,,,,-111.9276681,33.4220143,,,
,361,1501648993,,,,,,,-111.9282791,33.4220058,,,
,362,4346605154,,,,,,,-111.9417462,33.4219298,,,
,363,41563475,traffic_signals,,signal,,,,-111.942389,33.4219281,,,
,364,4346605155,,,,,,,-111.9407478,33.4219322,,,
,365,4346605153,,,,,,,-111.9428734,33.4219273,,,
,366,4346605156,,,,,,,-111.9407008,33.4219319,,,
,367,,,,,,,,-111.9436,33.4218526,,,boundary node created by osm2gmns
,368,5665460110,,,,,,,-111.9430383,33.4219283,,,
,369,6058475298,,,,,,,-111.9391558,33.4074189,,,
,370,41883112,traffic_signals,,signal,,,,-111.934904,33.4074493,,,
,371,4347874713,,,,,,,-111.9354177,33.4074426,,,
,372,4347874712,,,,,,,-111.9389839,33.4074225,,,
,373,6058475294,,,,,,,-111.9385439,33.4074173,,,
,374,4347874715,,,,,,,-111.9398844,33.4080275,,,
,375,4897758639,,,,,,,-111.9401355,33.4074051,,,
,376,330683937,traffic_signals,,signal,,,,-111.917698,33.4148781,,,
,377,4347879969,,,,,,,-111.9167018,33.4148707,,,
,378,,,,,,,,-111.9088,33.4219851,,,boundary node created by osm2gmns
,379,4347879973,,,,,,,-111.909107,33.4172087,,,
,380,4347879976,,,,,,,-111.9091035,33.4177774,,,
,381,4347879982,,,,,,,-111.9090227,33.421459,,,
,382,4347879967,,,,,,,-111.9091097,33.4141228,,,
,383,4347879970,,,,,,,-111.9091146,33.415374,,,
,384,4347900942,,,,,,,-111.9262882,33.4105131,,,
,385,4347900943,,,,,,,-111.9262942,33.4124964,,,
,386,4347879977,,,,,,,-111.9262955,33.4184244,,,
,387,4347879978,,,,,,,-111.9262944,33.4185822,,,
,388,4347879971,,,,,,,-111.9262936,33.4155005,,,
,389,4347879972,,,,,,,-111.9263007,33.4163769,,,
,390,4347879974,,,,,,,-111.9262999,33.4173616,,,
