name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Psychology North,38,28866724,,university,,,,"POLYGON ((-111.9299238 33.4207779, -111.9299222 33.4205039, -111.929904 33.420504, -111.9292045 33.4205068, -111.9292061 33.4207809, -111.929733 33.4207787, -111.9299238 33.4207779))",POINT (-111.9295641 33.4206424),2027.3,21821.3
Interdisciplinary Science and Technology 2,39,28866736,,university,,,,"POLYGON ((-111.9300719 33.4211857, -111.9300725 33.4210728, -111.9300224 33.4210726, -111.9300227 33.4209997, -111.9300704 33.4209999, -111.9300709 33.4208939, -111.9297381 33.4208928, -111.9291229 33.4208907, -111.9291223 33.421004, -111.9291785 33.4210042, -111.9291782 33.4210631, -111.9291174 33.4210628, -111.9291168 33.4211824, -111.9300719 33.4211857))",POINT (-111.9295954 33.4210385),2789.5,30026.3
Physical Education West,40,28878211,,university,,,,"POLYGON ((-111.9329556 33.4174089, -111.9331533 33.417405, -111.933157 33.4174982, -111.9332067 33.4174977, -111.9332068 33.4175083, -111.9332922 33.4175076, -111.9332934 33.4176072, -111.9333079 33.417607, -111.9333132 33.4180567, -111.9334108 33.4180559, -111.9334125 33.4181998, -111.9332552 33.4182011, -111.9332555 33.4182252, -111.9328647 33.4182285, -111.9328643 33.4181943, -111.9328114 33.4181948, -111.9328039 33.4176075, -111.932816 33.4176074, -111.9328148 33.4175118, -111.9329568 33.4175105, -111.9329556 33.4174089))",POINT (-111.9330701 33.4178548),4024.6,43320.7
Creativity Commons,41,28878239,,university,,,,"POLYGON ((-111.9321589 33.4175127, -111.932295 33.4175121, -111.9324759 33.4175116, -111.9325744 33.4175099, -111.9326214 33.4175093, -111.932632 33.4181708, -111.9324888 33.4181735, -111.9324909 33.4181314, -111.9323079 33.4181357, -111.9323065 33.4181739, -111.9321668 33.418174, -111.9321589 33.4175127))",POINT (-111.9323947 33.4178351),3088.8,33247.1
Sun Devil Campus Stores - Tempe Campus,42,28878276,,yes,,,,"POLYGON ((-111.9321301 33.4181447, -111.9321175 33.4174144, -111.9318305 33.4174179, -111.9318319 33.4174974, -111.9316216 33.4174999, -111.9316221 33.4175327, -111.931577 33.4175332, -111.9315778 33.4175802, -111.9316007 33.41758, -111.9316017 33.417635, -111.9315602 33.4176355, -111.9315694 33.4181385, -111.9316771 33.4181371, -111.9316773 33.4181504, -111.93195 33.418147, -111.9319506 33.4181797, -111.9320094 33.418179, -111.9320088 33.4181462, -111.9321301 33.4181447))",POINT (-111.9318569 33.4178049),3949.7,42514.6
Physical Education East,43,28878299,,university,,,,"POLYGON ((-111.9303417 33.4175043, -111.9312326 33.4174972, -111.931237 33.4180241, -111.9312036 33.4180247, -111.9312047 33.4181777, -111.9311474 33.4181785, -111.931146 33.4181917, -111.93084 33.418194, -111.9308368 33.4181804, -111.9308134 33.4181814, -111.9308109 33.4181423, -111.9307245 33.4181406, -111.9307256 33.4182229, -111.9303525 33.4182235, -111.9303417 33.4175043))",POINT (-111.9307829 33.4178478),6340.0,68243.6
Ross-Blakley Hall,44,28878390,,university,library,,,"POLYGON ((-111.9300374 33.4169058, -111.9298518 33.4169053, -111.9298548 33.4169229, -111.9298091 33.416921, -111.929815 33.4168625, -111.9296283 33.4168607, -111.9296223 33.4168789, -111.9295805 33.416897, -111.9295407 33.4169308, -111.9295331 33.4169232, -111.9295424 33.4168997, -111.9293725 33.4168249, -111.929321 33.4168965, -111.9292867 33.4169968, -111.929261 33.4171473, -111.929275 33.4172958, -111.929317 33.4172416, -111.929512 33.4172403, -111.9295145 33.4171877, -111.9295552 33.4172151, -111.9295552 33.4172857, -111.9296568 33.4173056, -111.929727 33.4173229, -111.9297972 33.4173449, -111.929858 33.4173714, -111.929864 33.4174286, -111.9300394 33.4174278, -111.9300374 33.4169058))",POINT (-111.9296868 33.4171067),3399.5,36592.0
Armstrong Hall,45,28878404,,university,,,,"POLYGON ((-111.9290593 33.4181001, -111.929158 33.4178494, -111.929139 33.4177492, -111.9291163 33.4177516, -111.9291137 33.4177315, -111.929101 33.4177317, -111.9290515 33.4175029, -111.9292393 33.4174763, -111.9292515 33.4175367, -111.9292445 33.4175381, -111.9292643 33.4176134, -111.9292841 33.4176103, -111.9292998 33.4175814, -111.929321 33.4175556, -111.9293725 33.4175198, -111.9294326 33.4174912, -111.9294755 33.4174912, -111.9295442 33.4175055, -111.9295871 33.4175556, -111.9296204 33.4175413, -111.9296368 33.4174747, -111.9298204 33.4174978, -111.9297709 33.4177583, -111.9297384 33.4177881, -111.9297333 33.4178509, -111.9298325 33.4180918, -111.9297153 33.4181288, -111.9296846 33.4180711, -111.929639 33.4180849, -111.9295896 33.4180863, -111.9295838 33.4181247, -111.9295678 33.4181531, -111.929548 33.4181721, -111.929496 33.4181991, -111.9294415 33.4182087, -111.9293892 33.4181983, -111.9293429 33.4181734, -111.9293066 33.418126, -111.9292973 33.4180848, -111.9292501 33.4180863, -111.9292006 33.4180734, -111.9291722 33.4181358, -111.9290593 33.4181001))",POINT (-111.9294442 33.4178196),4373.2,47073.0
Rural Road Parking Structure,46,28878477,,parking,parking,,,"POLYGON ((-111.9278358 33.418369, -111.9278326 33.4179265, -111.927828 33.4169642, -111.9274073 33.4169628, -111.927191 33.4169621, -111.9268074 33.4169608, -111.9268088 33.4170101, -111.9266223 33.417009, -111.9266269 33.4178217, -111.926625 33.4179311, -111.9266264 33.4183679, -111.9271923 33.4183695, -111.9273595 33.41837, -111.9276734 33.4183693, -111.9277261 33.4183692, -111.9278358 33.418369))",POINT (-111.9272308 33.4176697),17404.1,187335.5
Tempe High School,47,28902831,,,school,,,"POLYGON ((-111.9430094 33.4127313, -111.9434463 33.4127371, -111.9434528 33.411805, -111.9434831 33.407462, -111.9430864 33.4074647, -111.9411581 33.4074903, -111.9400223 33.4074871, -111.939963 33.4075247, -111.9399617 33.4076028, -111.9399969 33.4102896, -111.9400268 33.4108924, -111.940351 33.4109711, -111.9406937 33.4110844, -111.9410892 33.4112283, -111.9415997 33.4114875, -111.9420275 33.4117716, -111.9423701 33.4120518, -111.9426529 33.4123033, -111.9428392 33.4125394, -111.9430094 33.4127313))",POINT (-111.9418736 33.4096329),151794.6,1633901.5
,48,28902833,,,,pitch,,"POLYGON ((-111.9411565 33.4101828, -111.9411531 33.4098456, -111.9418427 33.4098407, -111.9418461 33.4101778, -111.9411565 33.4101828))",POINT (-111.9414996 33.4100117),2396.9,25800.1
,49,28902835,,,,pitch,,"POLYGON ((-111.9425236 33.4116276, -111.9430604 33.4116229, -111.9430481 33.4106288, -111.9425112 33.4106334, -111.9425236 33.4116276))",POINT (-111.9427858 33.4111282),5502.3,59226.4
,50,28902837,,,,pitch,,"POLYGON ((-111.9433904 33.4100696, -111.9433229 33.4101249, -111.9422444 33.4101398, -111.942174 33.4100773, -111.9421523 33.4092441, -111.9422087 33.4092441, -111.9421908 33.4088577, -111.942243 33.4088106, -111.9428667 33.4088083, -111.9428654 33.4087417, -111.9433178 33.4087367, -111.9434453 33.4087372, -111.943452 33.4098209, -111.9433902 33.4098152, -111.9433904 33.4100696))",POINT (-111.9428133 33.4094508),17546.0,188863.2
,51,28902838,,,,pitch,,"POLYGON ((-111.9407068 33.4103528, -111.9400327 33.4103874, -111.9400327 33.4104892, -111.9400585 33.4106181, -111.9401271 33.4107184, -111.9402473 33.4108259, -111.9403417 33.4108904, -111.9405477 33.4109549, -111.9407626 33.4109802, -111.9407677 33.4103949, -111.9407068 33.4103528))",POINT (-111.9404471 33.4106308),3744.0,40300.1
Birchett Park,52,28902977,,,,park,,"POLYGON ((-111.9398449 33.4150538, -111.9398595 33.4154274, -111.9398582 33.4155259, -111.9398483 33.41561, -111.9398253 33.4156688, -111.939792 33.4157247, -111.9397232 33.4158205, -111.9396384 33.4159081, -111.9396045 33.4159562, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9382922 33.4149218, -111.9383332 33.4148959, -111.9384187 33.4148364, -111.9385303 33.4148077, -111.9386934 33.4147934, -111.9389766 33.4147934, -111.9397183 33.4148222, -111.9398518 33.4148633, -111.939851 33.4148787, -111.9398449 33.4150538))",POINT (-111.9393025 33.4152043),9825.2,105757.5
Durham Hall,53,28930749,,university,,,,"POLYGON ((-111.934693 33.4214412, -111.9346947 33.4209685, -111.9347708 33.4209599, -111.9347779 33.4208149, -111.9346859 33.4208061, -111.9346841 33.4204161, -111.9345125 33.4204191, -111.9345142 33.4204516, -111.9344788 33.4204501, -111.9344788 33.4208075, -111.9343054 33.4208179, -111.9343071 33.4208431, -111.934316 33.4209715, -111.9344718 33.420973, -111.9344771 33.4214161, -111.9345178 33.4214161, -111.934516 33.4214441, -111.934693 33.4214412))",POINT (-111.934572 33.4209301),2638.3,28398.1
Central Plant,54,29215860,,industrial,,,,"POLYGON ((-111.9339569 33.4189178, -111.9334135 33.4189178, -111.9331672 33.4189178, -111.9331672 33.4192689, -111.9339569 33.4192689, -111.9339569 33.4189178))",POINT (-111.9335621 33.4190933),2857.9,30762.3
Life Sciences Tower,55,29215974,,university,,,,"POLYGON ((-111.9340349 33.4193825, -111.9340421 33.4194056, -111.934073 33.4194048, -111.9340925 33.4194332, -111.9341099 33.4194697, -111.9341323 33.4194629, -111.9341386 33.4195302, -111.9341349 33.4195836, -111.9341155 33.4195776, -111.9341008 33.4196096, -111.9340811 33.4196344, -111.9340307 33.4196356, -111.9340297 33.4196645, -111.9335586 33.4196664, -111.9335584 33.4196335, -111.9335321 33.4196336, -111.9335309 33.4194271, -111.9335544 33.419427, -111.9335541 33.4193774, -111.9340349 33.4193825))",POINT (-111.9338194 33.4195227),1652.6,17788.2
